round,param,value,loss,wall_s
1,β₁ₐ pf_cmp,0.09057647,35.146360,2294
1,β₁ₐ pf_cmp,0.13115295,34.082124,2317
1,β₁ₐ pf_cmp,0.14073176,34.326887,2340
1,β₁ₐ pf_cmp,0.12523292,34.045173,2364
1,β₁ₐ pf_cmp,0.12157414,34.273808,2387
1,β₁ₐ pf_cmp,0.12749417,34.083656,2411
1,β₁ₐ pf_cmp,0.12383539,34.177592,2434
1,β₁ₐ pf_cmp,0.12566478,34.204958,2458
1,β₇ per_step,165.14708428,34.086902,2481
1,β₇ per_step,254.85291572,34.733540,2506
1,β₇ per_step,109.70583145,34.082527,2529
1,β₇ per_step,75.44125283,34.272444,2553
1,β₇ per_step,130.88250565,34.065388,2577
1,β₇ per_step,143.97041007,34.261912,2600
1,β₇ per_step,122.79373587,34.037998,2624
1,β₇ per_step,117.79460123,34.320714,2647
1,β₇ per_step,125.88337100,34.207589,2671
1,β₇ per_step,120.88423635,34.313284,2694
1,β₇ per_step,123.97387148,34.283788,2717
1,β₇ per_step,122.06437196,34.360243,2742
1,β₇ per_step,123.01912172,34.232847,2765
1,α₁ post_dc,1145.89803375,34.015754,2788
1,α₁ post_dc,1854.10196625,34.021729,2811
1,α₁ post_dc,708.20393250,34.012096,2835
1,α₁ post_dc,437.69410125,34.009836,2858
1,α₁ post_dc,270.50983125,34.008447,2882
1,α₁ post_dc,167.18427000,34.007591,2906
1,α₁ post_dc,103.32556125,34.007060,2929
1,α₁ post_dc,63.85870876,34.006728,2952
1,α₁ post_dc,39.46685249,34.006530,2976
1,α₁ post_dc,24.39185627,34.006405,2999
1,α₁ post_dc,15.07499622,34.006331,3022
1,α₁ post_dc,9.31686005,34.006281,3045
1,α₁ post_dc,7.53749811,34.006264,3069
1,α₂ per_tok,76.39320225,34.038621,3092
1,α₂ per_tok,123.60679775,34.102287,3115
1,α₂ per_tok,47.21359550,34.008119,3138
1,α₂ per_tok,29.17960675,33.992589,3162
1,α₂ per_tok,18.03398875,33.984387,3185
1,α₂ per_tok,11.14561800,33.979679,3209
1,α₂ per_tok,6.88837075,33.976559,3232
1,α₂ per_tok,4.25724725,33.975368,3256
1,α₂ per_tok,2.63112350,33.974209,3279
1,α₂ per_tok,1.62612375,33.973642,3303
1,α₂ per_tok,1.00499975,33.973642,3326
1,α₂ per_tok,1.81806162,33.973642,3350
2,β₆ per_req,1.19663108,34.421424,3374
2,β₆ per_req,1.62717276,34.233163,3397
2,β₆ per_req,1.89326216,34.155680,3421
2,β₆ per_req,2.05771445,34.345589,3445
2,β₆ per_req,1.79162505,34.336729,3468
2,β₆ per_req,1.95607734,34.134869,3492
2,β₆ per_req,1.99489926,34.085118,3516
2,β₆ per_req,2.01889253,34.311187,3540
2,β₆ per_req,1.98007061,34.438017,3563
2,β₆ per_req,2.00406387,34.416358,3586
