gen,job,a0,g1,g2,g3,g7pf,g8,g9,g7dc,a2,loss,wall_s
21,203,6689.7,0.06371,0.18449,0.56820,23.432,272.425,772.198,317.473,13.6999,70.571021,2938
21,204,18620.2,0.03641,0.05355,0.98916,0.430,338.786,440.662,280.405,14.9061,61.628837,2938
21,205,22399.7,0.03027,0.05150,0.29671,2.839,366.605,794.379,299.422,12.5859,64.219667,2938
21,206,11865.0,0.03103,0.17807,0.41046,11.734,336.293,665.932,393.543,14.0732,62.662020,2938
21,207,23381.4,0.05308,0.24219,0.84311,22.730,255.193,555.087,238.010,14.9715,71.492726,2938
21,208,18090.7,0.03840,0.05532,0.45746,10.625,380.324,799.409,356.874,10.0418,60.844860,2938
21,209,13948.6,0.03004,0.17877,0.50631,15.539,326.579,502.060,389.082,14.9949,59.661122,2938
21,210,15618.4,0.03880,0.29072,0.46710,22.010,448.018,725.042,320.127,10.3707,65.928308,2938
22,211,15364.2,0.03211,0.05094,0.49536,5.247,275.699,395.688,328.658,11.2537,67.956257,3081
22,212,16467.1,0.04239,0.11312,0.22803,18.800,208.568,597.234,425.299,14.9993,68.360029,3081
22,213,13399.1,0.03255,0.20591,0.24197,16.824,317.372,624.636,411.840,14.8145,61.772137,3081
22,214,10571.1,0.05880,0.05136,0.20260,1.312,486.716,351.085,488.032,14.9970,76.536911,3081
22,215,10101.7,0.03650,0.06501,0.32069,15.186,473.772,221.619,186.437,11.8410,72.159038,3081
22,216,25870.8,0.03118,0.06746,0.74022,24.120,327.540,458.078,333.160,14.9709,70.551828,3081
22,217,19379.4,0.04671,0.32980,0.58498,7.755,393.269,791.446,233.694,14.3044,61.823839,3081
22,218,9900.1,0.04407,0.32883,0.41867,27.968,267.502,641.543,507.770,10.2988,64.228126,3081
22,219,12718.0,0.03019,0.05045,0.50258,21.065,420.574,252.243,366.065,13.5485,59.561332,3081
22,220,13822.0,0.03096,0.05321,0.57177,9.144,420.447,124.729,370.523,8.3452,60.901587,3081
23,221,16937.5,0.03003,0.05682,0.84538,15.226,429.278,244.767,260.106,7.7069,59.731425,3257
23,222,18612.4,0.03538,0.13602,0.73381,21.962,331.244,278.199,410.531,14.1969,66.207473,3257
23,223,21715.7,0.03637,0.13396,0.67483,17.792,413.427,455.255,339.747,9.6641,65.509032,3257
23,224,5886.8,0.03059,0.16059,0.70539,10.158,484.890,79.107,355.071,11.0577,73.712162,3257
23,225,11701.7,0.03230,0.05250,0.57532,8.222,422.699,166.993,549.914,11.7554,74.942201,3257
23,226,26197.2,0.03274,0.05272,0.59710,11.160,494.037,461.954,324.047,9.9553,79.504652,3257
23,227,10809.6,0.03151,0.13034,0.20030,16.082,487.261,431.387,404.758,13.8194,69.775896,3257
23,228,10972.4,0.03694,0.06081,0.69778,21.406,410.338,4.776,327.351,7.3557,60.535188,3257
23,229,13735.3,0.05022,0.16534,0.29184,24.727,351.225,11.648,419.672,12.1811,64.504229,3257
23,230,22549.3,0.03085,0.09630,0.94201,31.244,326.773,485.134,353.069,7.7662,69.314302,3257
24,231,24361.8,0.04780,0.07609,0.61126,16.022,310.023,158.303,300.697,7.4583,66.941133,3379
24,232,13981.4,0.06108,0.14842,0.75387,11.028,356.812,322.017,247.606,12.4983,64.853554,3379
24,233,15090.1,0.03358,0.12630,0.32641,32.726,427.965,323.643,306.144,10.7296,63.559203,3379
24,234,6258.9,0.03155,0.05884,0.34918,13.719,179.166,144.987,469.907,4.4021,78.077432,3379
24,235,12976.0,0.03565,0.12318,0.80492,32.163,441.281,452.666,253.701,11.4660,61.334336,3379
24,236,20957.1,0.03014,0.08306,0.20629,1.420,181.127,191.198,287.952,8.7340,80.063149,3379
24,237,15593.2,0.04546,0.12317,0.93796,29.994,429.772,298.117,409.461,10.8061,78.207358,3379
24,238,12808.0,0.03414,0.06727,0.30073,20.974,300.267,87.124,206.021,4.9677,81.192684,3379
24,239,18791.8,0.04022,0.20708,0.72835,3.907,471.063,108.864,318.304,4.9417,63.433468,3379
24,240,13499.8,0.03011,0.05680,0.26422,16.354,269.273,342.544,209.975,10.0694,85.364234,3379
25,241,20956.9,0.03206,0.11473,0.85327,15.154,393.261,437.986,157.288,10.4600,68.722596,3515
25,242,27525.1,0.03238,0.05276,0.50142,29.226,357.540,181.483,334.938,11.4832,74.941502,3515
25,243,19153.2,0.03028,0.06174,0.53883,77.603,430.693,153.868,476.428,10.0578,161.581215,3515
